Model Name,Input Image,Total Number of Layers,Number of Filters,Present Layer Number,Layer Name
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,64,1,block1_conv1
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,64,2,block1_conv2
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,128,4,block2_conv1
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,128,5,block2_conv2
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,256,7,block3_conv1
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,256,8,block3_conv2
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,256,9,block3_conv3
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,256,10,block3_conv4
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,512,12,block4_conv1
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,512,13,block4_conv2
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,512,14,block4_conv3
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,512,15,block4_conv4
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,512,17,block5_conv1
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,512,18,block5_conv2
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,512,19,block5_conv3
VGG19,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,22,512,20,block5_conv4
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,64,1,block1_conv1
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,64,2,block1_conv2
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,128,4,block2_conv1
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,128,5,block2_conv2
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,256,7,block3_conv1
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,256,8,block3_conv2
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,256,9,block3_conv3
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,256,10,block3_conv4
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,512,12,block4_conv1
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,512,13,block4_conv2
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,512,14,block4_conv3
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,512,15,block4_conv4
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,512,17,block5_conv1
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,512,18,block5_conv2
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,512,19,block5_conv3
VGG19,/content/drive/MyDrive/DSAI/asgn1/sailboat.bmp,22,512,20,block5_conv4
ResNet50,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,175,64,2,conv1_conv
ResNet50,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,175,64,7,conv2_block1_1_conv
ResNet50,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,175,64,10,conv2_block1_2_conv
ResNet50,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,175,256,13,conv2_block1_0_conv
ResNet50,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,175,256,14,conv2_block1_3_conv
ResNet50,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,175,64,19,conv2_block2_1_conv
ResNet50,/content/drive/MyDrive/DSAI/asgn1/barbara.bmp,175,64,22,conv2_block2_2_conv
